database,hour,Connected Components (>=5 nodes),Largest Component Nodes,Largest Component Edges,Average Path Length,Diameter
9n,436998,2,147.0,231.0,4.212468549063461,20.0
9n,436999,1,127.0,187.0,4.83689538807649,23.0
9n,437000,2,135.0,179.0,5.342399115533444,23.0
9n,437001,2,336.0,576.0,4.728766879886283,17.0
9n,437002,1,577.0,1029.0,4.518053148469093,22.0
9n,437003,2,691.0,1299.0,4.489213280479876,22.0
9n,437004,4,752.0,1302.0,4.761711335240955,22.0
9n,437005,1,757.0,1316.0,4.63345285273951,33.0
9n,437006,5,743.0,1256.0,4.795775848621274,23.0
9n,437007,4,742.0,1251.0,4.92637617265224,42.0
9n,437008,3,754.0,1378.0,5.125961230233795,27.0
9n,437009,3,833.0,1588.0,4.756966248037677,32.0
9n,437010,2,858.0,1653.0,4.611674595338539,22.0
9n,437011,1,861.0,1688.0,4.62838235691327,45.0
9n,437012,2,1041.0,2075.0,4.5233207714475725,33.0
9n,437013,6,990.0,2059.0,4.396198588514059,23.0
9n,437014,1,1026.0,2260.0,4.165412447106927,26.0
9n,437015,1,1139.0,2717.0,4.177330035442553,134.0
9n,437016,2,1161.0,2667.0,4.264638094389498,35.0
9n,437017,2,1147.0,2765.0,4.127175985308058,99.0
9n,437018,2,1078.0,2440.0,4.287507558100475,21.0
9n,437019,1,873.0,1793.0,4.563778807654718,39.0
9n,437020,2,671.0,1377.0,4.603732455457437,26.0
9n,437021,1,396.0,792.0,4.553509781357882,22.0
9n,437022,2,179.0,300.0,4.1554202498273805,20.0
9n,437023,2,152.0,247.0,4.263855001742767,23.0
9n,437024,1,172.0,285.0,4.0250917992656055,17.0
9n,437025,3,237.0,396.0,4.368018307945362,24.0
9n,437026,2,442.0,783.0,4.8028852566667695,21.0
9n,437027,1,675.0,1323.0,4.410981426530388,19.0
9n,437028,1,932.0,1928.0,4.647983385809711,39.0
9n,437029,2,926.0,1944.0,4.396350475745724,20.0
9n,437030,1,1003.0,2015.0,4.3922364642599145,40.0
9n,437031,1,990.0,2099.0,4.525638590148196,39.0
9n,437032,2,1019.0,2245.0,4.338576862789707,22.0
9n,437033,2,1138.0,2483.0,4.532771314144923,39.0
