database,hour,Connected Components (>=5 nodes),Largest Component Nodes,Largest Component Edges,Average Path Length,Diameter
9n,436998,4,121,813,2.440358126721763,6
9n,436999,3,114,475,3.0687781400403664,7
9n,437000,5,132,1269,2.703909322229933,7
9n,437001,2,224,1255,2.7825512491992312,7
9n,437002,2,386,3581,2.7507166408720813,7
9n,437003,4,337,2371,2.8268687296877206,7
9n,437004,7,461,3605,3.0746581156276527,8
9n,437005,5,531,5277,3.000980705681697,7
9n,437006,4,618,8665,2.757035032231331,7
9n,437007,3,558,3970,2.9434052109676134,7
9n,437008,8,481,2832,3.210490297990298,10
9n,437009,5,461,2658,2.96048288220315,7
9n,437010,3,449,2930,2.9237989182309896,7
9n,437011,2,488,3520,2.899114686774161,9
9n,437012,2,578,4755,2.89462858239432,9
9n,437013,5,560,4675,2.857308970099668,6
9n,437014,4,524,3866,2.815648125173325,8
9n,437015,5,577,5002,2.7660913730021184,8
9n,437016,2,581,5393,2.589999406492967,6
9n,437017,3,647,6678,2.640216096200133,7
9n,437018,3,536,4388,2.734677081880318,8
9n,437019,2,460,3458,2.7127214170692433,9
9n,437020,5,441,3824,2.750669964955679,8
9n,437021,2,244,1633,2.6138770829116913,8
9n,437022,2,153,809,2.462934296525628,7
9n,437023,3,159,900,2.7735052941644773,8
9n,437024,3,235,2240,2.6105473722495,7
9n,437025,4,273,2433,2.8850463262227968,6
9n,437026,4,394,2979,2.927719869286111,10
9n,437027,3,588,10084,2.661642851348376,6
9n,437028,4,605,5547,3.1140276941601446,9
9n,437029,2,546,6224,2.674765601371106,7
9n,437030,5,575,4988,2.7656294500833205,7
9n,437031,1,580,4815,2.845107498064439,7
9n,437032,4,557,4945,2.6669335985430687,7
9n,437033,5,661,7550,2.6705359189474165,8
9n,437034,5,667,8485,2.7109553331442386,8
9n,437035,4,544,4851,2.786135034124147,8
9n,437036,4,582,5777,2.629380556097734,8
9n,437037,2,708,8755,2.498457715020897,7
9n,437038,3,623,8462,2.4248243898158997,7
9n,437039,2,684,8654,2.5783608606680195,8
9n,437040,4,619,7340,2.5095963319060393,6
9n,437041,2,668,7719,2.4577381967698786,7
9n,437042,1,625,6984,2.4708615384615387,7
9n,437043,4,506,5634,2.4847806519782414,7
9n,437044,1,437,4419,2.5218965843007997,7
9n,437045,3,329,4443,2.304396174660835,7
9n,437046,3,228,1562,2.427815132545019,6
9n,437047,3,214,1473,2.412180246588566,6
9n,437048,3,191,1475,2.5022320198401764,8
9n,437049,1,233,1439,3.2308346899511617,9
9n,437050,1,348,2573,2.8868130776110505,8
9n,437051,4,412,3605,2.471169064323341,7
9n,437052,2,496,4423,2.663595633756924,7
9n,437053,2,590,5017,2.6954389801732326,7
9n,437054,1,589,5044,2.674647448113371,8
9n,437055,5,609,6019,2.7665175870711263,7
9n,437056,1,539,4159,2.9185121835148387,8
9n,437057,3,489,3332,2.911151899158537,8
9n,437058,4,483,3111,2.988986538147642,9
9n,437059,2,482,3602,2.8083608664521527,10
no,429534,4,39,77,2.6329284750337383,6
no,429535,2,28,65,2.208994708994709,4
no,429536,4,12,18,2.227272727272727,4
no,429537,1,5,10,1.0,1
no,429538,3,20,44,2.1578947368421053,5
no,429539,3,54,149,2.3829489867225715,5
no,429540,4,62,221,2.4352194606028554,5
no,429541,5,60,134,3.0497175141242936,7
no,429542,3,155,649,2.882195224130708,6
no,429543,3,112,274,2.9015444015444016,8
no,429544,4,126,458,2.9205079365079367,7
no,429545,5,179,1083,2.9942250957253154,8
no,429546,1,118,441,3.0640301318267418,9
