database,hour,Connected Components (>=5 nodes),Largest Component Nodes,Largest Component Edges,Average Path Length,Diameter
9n,436998,1,94.0,651.0,2.2047586364676275,5.0
9n,436999,1,78.0,428.0,2.5014985014985016,7.0
9n,437000,1,88.0,322.0,2.799373040752351,6.0
9n,437001,2,245.0,3222.0,2.3652057544329206,6.0
9n,437002,1,444.0,9243.0,2.261545970349582,6.0
9n,437003,1,553.0,14961.0,2.2514872762533744,6.0
9n,437004,3,599.0,18005.0,2.3551906466183885,8.0
9n,437005,1,589.0,20028.0,2.301115692456949,6.0
9n,437006,1,574.0,14892.0,2.4049960170506717,6.0
9n,437007,3,559.0,10963.0,2.4647379793666366,6.0
9n,437008,1,577.0,13460.0,2.5545445792412864,7.0
9n,437009,1,646.0,17230.0,2.377550579595363,7.0
9n,437010,1,670.0,19529.0,2.3027508198915734,6.0
9n,437011,1,672.0,22262.0,2.29700695479384,7.0
9n,437012,1,825.0,39814.0,2.2272256546042954,8.0
9n,437013,1,775.0,36290.0,2.186616654163541,6.0
9n,437014,1,840.0,53857.0,2.0500794596742153,7.0
9n,437015,1,889.0,62579.0,2.0598582271810617,6.0
9n,437016,1,896.0,56578.0,2.124895251396648,5.0
9n,437017,1,894.0,75579.0,2.036898973121795,7.0
9n,437018,2,843.0,51532.0,2.1142481184999844,6.0
9n,437019,1,667.0,30660.0,2.2677715196455828,7.0
9n,437020,1,491.0,20065.0,2.310046136580905,6.0
9n,437021,1,286.0,7027.0,2.3414550361918782,5.0
9n,437022,2,124.0,1699.0,2.097823236296879,6.0
9n,437023,2,96.0,887.0,2.1956140350877194,7.0
9n,437024,1,105.0,1119.0,2.0772893772893775,5.0
9n,437025,2,166.0,2321.0,2.2129974443227454,5.0
9n,437026,1,322.0,7262.0,2.3881697335577874,8.0
9n,437027,1,505.0,18362.0,2.1772434386295774,6.0
9n,437028,1,715.0,34825.0,2.2762100644453587,8.0
9n,437029,1,723.0,34611.0,2.162798895031858,6.0
9n,437030,1,793.0,37153.0,2.169411644821481,6.0
9n,437031,1,763.0,34884.0,2.220978111680994,6.0
9n,437032,1,792.0,39318.0,2.1575010535187524,6.0
9n,437033,1,884.0,47054.0,2.241543381007774,7.0
9n,437034,1,895.0,41640.0,2.235721695224526,6.0
9n,437035,1,824.0,59461.0,2.067274003468249,7.0
9n,437036,1,1180.0,208027.0,1.8660844438694095,6.0
9n,437037,1,1390.0,370730.0,1.6973621103117507,5.0
9n,437038,1,1294.0,278207.0,1.7647456103546502,6.0
9n,437039,1,1236.0,215371.0,1.8618031261873877,6.0
9n,437040,1,1164.0,142808.0,1.9143449368117176,6.0
9n,437041,1,1084.0,128564.0,1.9170406108493219,5.0
9n,437042,1,998.0,92070.0,2.0617282709853004,6.0
9n,437043,1,838.0,59672.0,2.1013991896276907,5.0
9n,437044,1,603.0,30022.0,2.149088444819094,6.0
9n,437045,1,385.0,16580.0,1.977042748917749,5.0
9n,437046,2,191.0,3885.0,1.9776246899972445,5.0
9n,437047,1,125.0,2368.0,1.8655483870967742,5.0
9n,437048,1,118.0,1245.0,2.213964942778502,6.0
9n,437049,1,171.0,2756.0,2.390574475404197,8.0
9n,437050,1,314.0,11219.0,2.0630023809039293,8.0
9n,437051,1,509.0,28037.0,1.9456785730860264,5.0
9n,437052,1,734.0,42281.0,2.1235934590035352,7.0
9n,437053,1,846.0,48996.0,2.149881796690307,6.0
9n,437054,1,857.0,48510.0,2.132351497835309,6.0
9n,437055,2,748.0,32475.0,2.1789940510705925,5.0
9n,437056,1,727.0,27457.0,2.318812736594405,6.0
9n,437057,2,745.0,32146.0,2.240055567583171,6.0
9n,437058,1,761.0,31901.0,2.283989210872121,8.0
9n,437059,1,721.0,34882.0,2.209708737864078,7.0
no,429534,1,40.0,191.0,2.246153846153846,5.0
no,429535,1,22.0,106.0,1.632034632034632,3.0
no,429536,1,8.0,17.0,1.4285714285714286,3.0
no,429537,0,,,,
no,429538,1,16.0,66.0,1.5,3.0
no,429539,1,39.0,246.0,1.836707152496626,4.0
no,429540,2,58.0,437.0,2.02540834845735,4.0
no,429541,2,83.0,539.0,2.443726124008228,6.0
no,429542,2,149.0,1533.0,2.3035552330854343,6.0
no,429543,2,140.0,1827.0,2.171736896197328,6.0
no,429544,2,114.0,1321.0,2.2111473373699737,6.0
no,429545,1,112.0,889.0,2.5466537966537968,7.0
no,429546,1,113.0,961.0,2.545353982300885,6.0
no,429547,1,136.0,910.0,3.0502178649237472,9.0
no,429548,2,114.0,783.0,2.84070796460177,7.0
no,429549,6,89.0,648.0,2.4706332992849847,6.0
no,429550,2,90.0,487.0,2.6931335830212233,6.0
no,429551,2,133.0,581.0,3.4535201640464797,8.0
no,429552,2,149.0,1098.0,2.968075458008344,7.0
no,429553,1,130.0,1045.0,2.8067978533094813,8.0
no,429554,4,67.0,508.0,2.3527815468113977,5.0
no,429555,2,81.0,799.0,2.35,6.0
no,429556,2,19.0,99.0,1.608187134502924,4.0
no,429557,1,17.0,86.0,1.4779411764705883,4.0
no,429558,1,10.0,25.0,1.488888888888889,3.0
no,429559,1,9.0,36.0,1.0,1.0
no,429560,1,11.0,48.0,1.1272727272727272,2.0
no,429561,2,7.0,12.0,1.619047619047619,3.0
no,429562,3,65.0,352.0,2.398076923076923,5.0
no,429563,1,123.0,948.0,2.768625882980141,9.0
no,429564,2,121.0,741.0,2.703443526170799,7.0
no,429565,3,134.0,919.0,3.0127931769722816,8.0
no,429566,2,149.0,929.0,3.2538545256666063,10.0
no,429567,3,166.0,1673.0,2.7122307411464037,7.0
no,429568,1,158.0,1057.0,2.965250342659034,7.0
no,429569,1,197.0,1863.0,3.749093546047861,9.0
no,429570,4,188.0,1469.0,3.369609739447036,8.0
no,429571,2,184.0,1367.0,2.988120693751485,7.0
no,429572,3,122.0,545.0,3.4251456442216504,8.0
no,429573,1,174.0,963.0,5.142316125174407,14.0
no,429574,2,133.0,599.0,3.4511278195488724,8.0
no,429575,4,212.0,2675.0,2.9164803719932038,9.0
no,429576,1,170.0,3593.0,2.253393665158371,7.0
no,429577,1,199.0,1570.0,3.070148723415055,8.0
no,429578,3,125.0,794.0,2.7276129032258063,7.0
no,429579,3,77.0,387.0,3.0181134654818864,6.0
no,429580,3,52.0,183.0,2.5761689291101058,6.0
no,429581,2,12.0,36.0,1.5303030303030303,3.0
no,429582,0,,,,
no,429583,1,5.0,5.0,1.7,3.0
no,429584,0,,,,
no,429585,2,10.0,17.0,2.022222222222222,4.0
no,429586,1,76.0,365.0,2.723157894736842,6.0
no,429587,1,127.0,680.0,2.967504061992251,7.0
no,429588,3,117.0,564.0,3.212348953728264,9.0
no,429589,6,143.0,908.0,2.9444499162809024,7.0
no,429590,3,171.0,1300.0,2.8452700378396973,7.0
no,429591,3,146.0,844.0,3.1794048181388757,9.0
no,429592,6,133.0,655.0,3.973684210526316,9.0
no,429593,6,130.0,703.0,3.8877757901013714,8.0
no,429594,2,104.0,446.0,3.5526512322628827,8.0
no,429595,2,141.0,617.0,3.678824721377913,10.0
no,429596,5,114.0,918.0,2.665424623505667,7.0
no,429597,4,140.0,1169.0,3.3543679342240496,9.0
no,429598,5,152.0,975.0,4.4406587661206,13.0
no,429599,2,212.0,2108.0,2.7655369757667887,7.0
no,429600,3,231.0,3939.0,2.5955957086391868,7.0
no,429601,2,185.0,1493.0,2.8925969447708577,8.0
no,429602,1,161.0,1223.0,3.039751552795031,8.0
no,429603,2,117.0,493.0,3.5773651635720602,7.0
no,429604,2,29.0,146.0,1.8399014778325122,4.0
no,429605,1,30.0,86.0,2.296551724137931,5.0
no,429606,0,,,,
no,429607,0,,,,
no,429608,0,,,,
no,429609,2,11.0,15.0,2.2545454545454544,4.0
no,429610,3,95.0,404.0,3.7178051511758117,9.0
no,429611,2,126.0,598.0,3.129015873015873,7.0
no,429612,1,170.0,1446.0,2.6121127741037244,7.0
no,429613,1,238.0,2685.0,2.763181221855831,8.0
no,429614,3,241.0,3401.0,2.5178769017980636,6.0
no,429615,2,287.0,3133.0,2.9059477108257594,8.0
no,429616,4,244.0,1997.0,3.258719557444512,9.0
no,429617,3,224.0,1824.0,2.955277065983344,8.0
no,429618,4,137.0,1042.0,2.804315156719622,8.0
no,429619,2,158.0,917.0,2.9790373296783037,7.0
no,429620,4,128.0,741.0,2.76439468503937,7.0
no,429621,3,230.0,2809.0,2.729827226124929,7.0
no,429622,3,285.0,5743.0,2.4250061774153693,7.0
no,429623,2,935.0,236270.0,1.5092374812490696,6.0
no,429624,1,1302.0,565764.0,1.3543617045141927,5.0
no,429625,1,858.0,222354.0,1.4301855282018643,5.0
no,429626,1,710.0,144251.0,1.5303561850652576,8.0
no,429627,1,478.0,64919.0,1.508039262124681,5.0
no,429628,1,276.0,20497.0,1.5529380764163372,4.0
no,429629,1,168.0,7695.0,1.5994439692044482,5.0
no,429630,1,79.0,1861.0,1.4518013631937683,4.0
no,429631,1,40.0,468.0,1.4782051282051283,4.0
no,429632,1,32.0,329.0,1.3951612903225807,4.0
no,429633,1,49.0,655.0,1.4829931972789117,3.0
no,429634,1,94.0,2197.0,1.6225120109814688,4.0
no,429635,1,212.0,9819.0,1.6667709916838058,5.0
no,429636,1,233.0,9361.0,1.8283631789255588,4.0
